"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4562","Home Page","chromium","Tue Dec 02 13:13:08 IST 2025","passed","Tue Dec 02 13:13:13 IST 2025","","Homepage.spec.js","",""
"","18292","Read Data from excel Sheet 1","chromium","Sat Jan 10 15:08:10 IST 2026","passed","Sat Jan 10 15:08:29 IST 2026","","ReadExcelFile.spec.js","",""
"","15579","Reading data from json valid testData","chromium","Wed Jan 07 16:57:34 IST 2026","passed","Wed Jan 07 16:57:49 IST 2026","Reading all valid & invalid data from json","ReadJsonFile.spec.js","",""
"","12796","Drag and Drop","chromium","Wed Nov 26 16:46:37 IST 2025","passed","Wed Nov 26 16:46:49 IST 2025","","MouseActions.spec.js","",""
"","20402","Read Data from excel Sheet 2","chromium","Sat Jan 10 15:08:31 IST 2026","passed","Sat Jan 10 15:08:51 IST 2026","","ReadExcelFile.spec.js","",""
"","1654","Read Data from excel Sheet","chromium","Thu Jan 08 11:27:56 IST 2026","passed","Thu Jan 08 11:27:58 IST 2026","","ReadExcelFile.spec.js","",""
"","10946","Myntra Homepage Handling","chromium","Sat Dec 13 09:25:43 IST 2025","passed","Sat Dec 13 09:25:54 IST 2025","","OfferPrice.spec.js","",""
"","17246","Handling Demoblaze","chromium","Tue Dec 02 13:37:21 IST 2025","passed","Tue Dec 02 13:37:38 IST 2025","","Hooks1.spec.js","",""
"","8990","Handling Login","chromium","Mon Dec 08 17:05:53 IST 2025","failed","Mon Dec 08 17:06:02 IST 2025","","Projectday1.spec.js","",""
"","6383","Facebook Login","chromium","Tue Dec 02 13:37:21 IST 2025","passed","Tue Dec 02 13:37:27 IST 2025","","prac 1.spec.js","",""
"","14718","Read the data from dotenv in dev","chromium","Wed Jan 07 17:10:16 IST 2026","passed","Wed Jan 07 17:10:31 IST 2026","Read Data from dotenv files","ReadEnvFile.spec.js","",""
"","14392","Page Object Model","chromium","Wed Nov 26 17:27:45 IST 2025","passed","Wed Nov 26 17:27:59 IST 2025","","POM.spec.js","",""
"","9301","Facebook Login","chromium","Fri Dec 05 10:57:39 IST 2025","passed","Fri Dec 05 10:57:48 IST 2025","","Projectday1.spec.js","",""
"","17790","Read Data from excel Sheet 3","chromium","Sat Jan 10 15:08:51 IST 2026","passed","Sat Jan 10 15:09:09 IST 2026","","ReadExcelFile.spec.js","",""
"","15409","Handling Swag labs LoginPage, Navigating Homepage","chromium","Tue Dec 02 12:55:23 IST 2025","passed","Tue Dec 02 12:55:39 IST 2025","","SwagLabs.spec.js","",""
"","6437","Handling","chromium","Fri Jan 09 10:35:57 IST 2026","passed","Fri Jan 09 10:36:03 IST 2026","","ReadCsvFile.spec.js","",""
"","7115","prompt alert","chromium","Wed Dec 10 13:16:48 IST 2025","passed","Wed Dec 10 13:16:55 IST 2025","","DialogHandler.spec.js","",""
"","7234","confirm alert","chromium","Wed Dec 10 13:16:40 IST 2025","passed","Wed Dec 10 13:16:47 IST 2025","","DialogHandler.spec.js","",""
"","10344","Right Click","chromium","Wed Nov 26 16:46:49 IST 2025","passed","Wed Nov 26 16:47:00 IST 2025","","MouseActions.spec.js","",""
"","9758","Mouse Double Click","chromium","Wed Nov 26 16:46:27 IST 2025","passed","Wed Nov 26 16:46:37 IST 2025","","MouseActions.spec.js","",""
"","21248","Keyyboard Actions","chromium","Wed Nov 26 16:47:00 IST 2025","passed","Wed Nov 26 16:47:21 IST 2025","","MouseActions.spec.js","",""
"","7490","simple alert","chromium","Wed Dec 10 13:16:32 IST 2025","passed","Wed Dec 10 13:16:40 IST 2025","","DialogHandler.spec.js","",""
"","13468","Reading data from json invalid testData","chromium","Wed Jan 07 16:57:50 IST 2026","passed","Wed Jan 07 16:58:03 IST 2026","Reading all valid & invalid data from json","ReadJsonFile.spec.js","",""
"","20591","Mouse Hover","chromium","Wed Nov 26 16:46:06 IST 2025","passed","Wed Nov 26 16:46:26 IST 2025","","MouseActions.spec.js","",""
"","1237","Read the data from dotenv in undefined","chromium","Wed Jan 07 17:02:06 IST 2026","failed","Wed Jan 07 17:02:08 IST 2026","Read Data from dotenv files","ReadEnvFile.spec.js","",""
"","30330","webtable handling","chromium","Fri Dec 26 12:52:34 IST 2025","broken","Fri Dec 26 12:53:04 IST 2025","","Webtask.spec.js","",""
"","14308","Handling Demoblaze LoginPage, Navigating Homepage","chromium","Tue Dec 02 13:15:20 IST 2025","passed","Tue Dec 02 13:15:34 IST 2025","","LoginPage.spec.js","",""
